Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
292305,Non-Gaming Exempt (NGE),NetApp Canada Inc.,100 MILLVERTON DRIVE,SUITE 404  MISSISSAUGA ON  L5R 4H1
292313,Non-Gaming Exempt (NGE),Donald B. Gillis & Son Wholesale Seafood,48 MEMORIAL DRIVE,"NORTH SYDNEY, NS  B2A 3M1"
292318,Non-Gaming Exempt (NGE),Stepping Stone Technologies Inc.,"1155 ROSS ROAD,  SUITE 101","NORTH VANCOUVER, BC  V7K 1C6"
292327,Non-Gaming Exempt (NGE),Linde Canada Inc.,30 MAPLE STREET,SYDNEY NS  B3P 6V8
292329,Non-Gaming Exempt (NGE),Canada Bread Company Ltd.,PO BOX 4518 CRO,HALIFAX NOVA SCOTIA  B3J 3Y4
292330,Non-Gaming Exempt (NGE),Laser Networks,201 CITY CENTRE DRIVE,MISSISSAUGA ONTARIO  L5B 4E4
292332,Non-Gaming Exempt (NGE),"Tech Art Manufacturing, Inc.",4185 WEST TECO AVENUE,"LAS VEGAS, NEVADA  89118"
292337,Non-Gaming Exempt (NGE),Cornerston Consultants - Ruth Duggan,PO BOX  33084 QUONPOOL ROAD,"HALIFAX, NS  B3L 4T6"
292342,Non-Gaming Exempt (NGE),Sunlife Financial,1160 -1140 WEST PENDER ST.,VANCOUVER BRITISH COLUMBIA  V6E 4G1
292343,Non-Gaming Exempt (NGE),Master Group,181 JOSEPH ZATZMAN DRIVE #5,DARTMOUTH NOVA SCOTIA  B3B 1R5
292344,Non-Gaming Exempt (NGE),Lotherington's Flowers and Gifts,174 ASHBY ROAD,"SYDNEY, NS  B1P 2S6"
292346,Non-Gaming Exempt (NGE),Free 2 Charge Inc.,188 MOIRS MILLS ROAD,BEDFORD NOVA SCOTIA  B4A 3W2
292347,Non-Gaming Exempt (NGE),Altus Group,1969 UPPER WATER STREET,SUITE 1701 HALIFAX  B3J 3R7
292348,Non-Gaming Exempt (NGE),Phoenix Industrial Sales Ltd.,55 HOSPITAL STREET,"SYDNEY, NOVA SCOTIA  B1P 2H6"
292349,Non-Gaming Exempt (NGE),Ramsays Cycle and Sport,616 KELTIC DRIVE,"SYDNEY, NS  B1L 1B6"
292369,Non-Gaming Exempt (NGE),The Coast,2309 MAYNARD STREET,"HALIFAX,NS  B3K 3T8"
292371,Non-Gaming Exempt (NGE),Barteaux Durnford Lawyers,1809 BARRINGTON ST. SUITE1200,"HALIFAX, NS  B3J 3K8"
292373,Non-Gaming Exempt (NGE),Chandler Sales Ltd.,26 MORRISON STREET,SYDNEY NOVA SCOTIA  B1P 1W1
292376,Non-Gaming Exempt (NGE),24 Carrots Bakery,UNIT A-1 3200 KEMPT ROAD,"HALIFAX, N.S.  B3K 4X1"
292385,Non-Gaming Exempt (NGE),Rexel Atlantic,1212 UPPER PRINCE STREET,SYDNEY NOVA SCOTIA  B1P 5P6
292428,Non-Gaming Exempt (NGE),Colour Creative Persuasian Inc.,"7051 BAYERS ROAD, SUITE 400","HALIFAX, NS  B3L 4V2"
292430,Non-Gaming Exempt (NGE),Chum Limited,2900 AGRICOLA STREET,"HALIFAX, NS  B3K 6A7"
292434,Non-Gaming Exempt (NGE),Maritime Broadcasting System Limited,"5121 SACKVILLE STREET, 7TH FL","HALIFAX, NS  B3J 1K1"
292436,Non-Gaming Exempt (NGE),P. McGuire Transfer & Storage Co. Ltd.,1164 UPPER PRINCE STREET,"SYDNEY, NS  B1P 5P6"
292460,Non-Gaming Exempt (NGE),Global Maritmes -Can West MediaWorks,14 AKERLEY BLVD,"DARTMOUTH, NS  B3B 1J3"
292484,Non-Gaming Exempt (NGE),The Chronicle Herald,2717 JOSEPH HOWE DRIVE,"PO BOX 610, HALIFAX, NS  B3J 2T2"
292490,Non-Gaming Exempt (NGE),Waste Management of Canada Corporation,20 SIMMONDS DRIVE,"DARTMOUTH, N.S.  B3B 1R3"
292492,Non-Gaming Exempt (NGE),W.J. Power Plumbing & Heating Ltd.,PO BOX 48041 R.P.O. MILL COVE,"BEDFORD, NS  B4A 3Z2"
292510,Non-Gaming Exempt (NGE),Hewitt Associates Corp.,2 SHEPPARD AVENUE EAST,"TORONTO, ONTARIO  M2N 7A4"
292513,Non-Gaming Exempt (NGE),GE Security Canada (Formerly Edwards),625 6TH. STREET EAST,"OWEN SOUND,ON  N4K 5P8"
292521,Non-Gaming Exempt (NGE),N.S. P.E.I. Caterplan Trust CNIB,6136 ALMON STREET,"HALIFAX, N.S.  B3K 1T8"
294137,Non-Gaming Exempt (NGE),Project 9,5525 ARTILLARY PLACE,HALIFAX NS B3J 1J2
294244,Non-Gaming Exempt (NGE),"Sysco Food Services of Canada, Inc.",1 DUCK POND ROAD,"LAKESIDE, N.S.  B3T 1M5"
294251,Non-Gaming Exempt (NGE),Kohoot Inc.,12 BREE LANE,"HAMMONDS PLAINS, NS  B4B 0K2"
294261,Non-Gaming Exempt (NGE),"SCA Promotions, Inc.","3030 LBJ FREEWAY, SUITE 300","DALLAS, TEXAS  75234"
294263,Non-Gaming Exempt (NGE),Metro Sanitation Ltd,320 FREDERICK STREET,"SYDNEY, NS  B1N 2A5"
294381,Non-Gaming Exempt (NGE),Rebekah Dempsey Show Girl,56 BRIARWOOD CR,HALIFAX NS B3M 1P4
294500,Non-Gaming Exempt (NGE),PGW Upholstery Ltd.,267 COTTAGE  RD,SYDNEY NS B1P 2E7
294694,Non-Gaming Exempt (NGE),Signworld Canada Inc.,40 MILLWICK DR UNIT 10,TORONTO ON M9L 1Y3
294700,Non-Gaming Exempt (NGE),Tall Ships Art Productions Ltd.,1712 WAVERLY RD,DARTMOUTH NS B2R 1Y3
296443,Non-Gaming Exempt (NGE),Wyatt Design,6230 WINDCREST TERRACE APT 12,HALIFAX NS B3L 1T2
297256,Non-Gaming Exempt (NGE),Grand & Toy,33 GREEN BELT DRIVE,"TORONTO, ONTARIO  M3C 1M1"
297303,Non-Gaming Exempt (NGE),Chinese Society of Nova Scotia,PO Box 29055,Halifax Shopping Center R.P.O
297618,Non-Gaming Exempt (NGE),The Printing House Limited,1403 BATHURST STREET,TORONTO ONTARIO  M5R 3H8
297755,Non-Gaming Exempt (NGE),Steve Hollingworth,19 CONDUCTOR  AV,STITTSVILLE ON K2C 1C4
297756,Non-Gaming Exempt (NGE),Adrian Cronk,1005 DUFFERIN ST,TORONTO ON M6H 4B2
297757,Non-Gaming Exempt (NGE),Gail Smith,17 OATHILL  CR,DARTMOUTH NS B3Y 4C3
298112,Non-Gaming Exempt (NGE),Shannon Laverty,585 RHODES  AV,TORONTO ON M4J 4X5
298113,Non-Gaming Exempt (NGE),Annalise Morash,23 FRENCHY'S  RD,LANTZ NS B2S 1R3
298115,Non-Gaming Exempt (NGE),MAXSYS,5475 SPRING GARDEN  RD,HALIFAX NS B3J 3T2
298275,Non-Gaming Exempt (NGE),Long View Systems Corporation,2100   250 Second Street SW,"CALGARY ,  ALBERTA  T2P 0C1"
298385,Non-Gaming Exempt (NGE),Glen Arbour Golf Course,40 CLUBHOUSE LN,HAMMONDS PLAINS NS B4B 1T4
298978,Non-Gaming Exempt (NGE),Mark Currie Painting Ltd.,36 O'NEIL RD,ENFIELD NS B2T 1H3
298982,Non-Gaming Exempt (NGE),Ryson Interior Construction Ltd.,361 HORNE SETTLEMENT RD,ENFIELD NS B2T 1H2
298984,Non-Gaming Exempt (NGE),FireHouse Ironworks,109 MAIN ST,WHYCOCOMAGH NS B0E 3M0
298986,Non-Gaming Exempt (NGE),Royal Canadian Numismatic Society,5694 # 7 HY SUITE 432,MARKHAM ON L3P 1B4
299674,Non-Gaming Exempt (NGE),Image Group,34 WEST 2ND AV,VANCOUVER BC VSY 1B3
299833,Non-Gaming Exempt (NGE),T Bear Cleaners Limited,66 CAUSEWAY  DR,SYDNEY NS B1L 1C5
299835,Non-Gaming Exempt (NGE),Maritime Chinese Golf Association,75 WINDBRIDGE LANE,BEDFORD NS B4A 1T4
299836,Non-Gaming Exempt (NGE),Atlantic School of Skydiving,P.O. BOX 575,KENTVILLE NS B4N 3X7
299852,Non-Gaming Exempt (NGE),Louisa Manuel Band,5 ELMWOOD AV,DARTMOUTH NS B3A 3E2
299855,Non-Gaming Exempt (NGE),Amanda Hann Showgirl,57 RIDGE AV,SACKVILLE NS B4C 2L7
299856,Non-Gaming Exempt (NGE),Cas McCrea Band,172A OLD SAMBRO RD,HALIFAX NS B3H 2R5
299858,Non-Gaming Exempt (NGE),Canada Country Music Association,120 ADELAIDE  ST E SUITE 200,TORONTO ONTA M5C 1K9
299956,Non-Gaming Exempt (NGE),Somethin Creatif Print Inc.,60 DALEY  RD,NEW VICTORIA NS B1H 4Z4
299958,Non-Gaming Exempt (NGE),Massive Media Inc.,319 WEST HASTINGS  ST 4TH FLOOR,VANCOUVER BC V6H 1H6
300016,Non-Gaming Exempt (NGE),Gillis Seafood,48 MEMORIAL DR,NORTH SYDNEY NS B2A 3M1
300412,Non-Gaming Exempt (NGE),J R Mahoney Ltd,1810 Kings Road,"SYDNEY, NOVA SCOTIA  B1L 1C5"
300416,Non-Gaming Exempt (NGE),Biometrica Systems Inc.,6623 LAS VEGAS  BL SUITE 250,LAS VEGAS NV NV89119
300418,Non-Gaming Exempt (NGE),Sambro Fisheries Limited,40 LENNY'S LANE,"SAMBRO, N.S.  B3V 1L5"
300422,Non-Gaming Exempt (NGE),Fundy Textile & Design Limited,189 INDUSTRIAL AVE.,"P.O. BOX 1160 TRURO, N.S.  B2N 5H1"
300614,Non-Gaming Exempt (NGE),Northern Specialty Supplies Inc.,48 VIENNA RD,TILLSONBURG ON N4G 3C7
300615,Non-Gaming Exempt (NGE),Dom-Can Construction Ltd.,1153 LINGAN ROAD,"SYDNEY, N.S.  B1N 3K8"
300616,Non-Gaming Exempt (NGE),G & K Services,33 Lakeside Park Drive,Lakeside Nova Scotia  B3T 1M4
300690,Non-Gaming Exempt (NGE),Annie Valentina,5666 ALMON ST APT 203,HALIFAX NS B3K 1T6
300700,Non-Gaming Exempt (NGE),Coca-Cola Refreshments Canada,20 LAKESIDE PARK DR,LAKESIDE NS  B3T 7L8
300895,Non-Gaming Exempt (NGE),BJ Electric Motor and Control Ltd.,1983 UPPER WATER ST,HALIFAX NS B3J 3Y5
301037,Non-Gaming Exempt (NGE),Konrad's Food Services Ltd.,61 RADDALL AVE. UNIT D,"DARTMOUTH, N.S."
301126,Non-Gaming Exempt (NGE),Staples,1616 RUE EIFFEL RD,BOUCHEVILLE PQ J4B 8N3
301128,Non-Gaming Exempt (NGE),Kevin Davison,288 LEMARCHANT DR,NEW MINAS NS B4N 4K1
301130,Non-Gaming Exempt (NGE),George Hebert,23 BEDFORD  ST,BEDFORD NS B4A 1W7
301558,Non-Gaming Exempt (NGE),Connors Basics Office Products,350 CHARLOTTE ST,SYDNEY NS  B1P 6H2
301743,Non-Gaming Exempt (NGE),Jamie Robinson Performer,693 WAVERLEY RD,DARTMOUTH NS B2X 2Y7
301939,Non-Gaming Exempt (NGE),Atlantic Talent,371 SHORE  DR,BEDFORD NS B4A 2C7
301941,Non-Gaming Exempt (NGE),Troy Fire & Life Safety Ltd.,340 WRIGHT AV UNIT 13,DARTMOUTH NS B3B 0B3
301943,Non-Gaming Exempt (NGE),Stelee Developments Ltd.,49 BRANS WAY,"WILLIAMSWOOD, N.S.  B3V 1T1"
301945,Non-Gaming Exempt (NGE),Garth's Welding and Maintenance,2531 OLD SAMBRO ROAD,"WILLIAMSWOOD, N.S.  B3V 1E1"
302168,Non-Gaming Exempt (NGE),Keystone ManufacturingDBA ABnote North America,15 GOLDEN GATE COURT,"SCARBOROUGH, ONTARIO  M1P 3A4"
302171,Non-Gaming Exempt (NGE),Blackhawk Network (Canada) Ltd.,3300 BLOOR  ST W SUITE 200,TORONTO ON M8X 2X3
302199,Non-Gaming Exempt (NGE),The Kinkaid Entertainment Agency,2409 21ST  AV S SUITE 201,NASHVILLE TN 37212
302203,Non-Gaming Exempt (NGE),William Engvall Artist,2409 21ST  AV S SUITE 201,NASHVILLE TN 37212
302208,Non-Gaming Exempt (NGE),Pepsico Beverages Canada,220 HENRI DUNANT ST,MONCTON NB E1E 1E6
302316,Non-Gaming Exempt (NGE),Commercial Heating and Air Conditioning,51 STEARNS CT,DARTMOUTH NS B3B 1W7
302728,Non-Gaming Exempt (NGE),Good Dear Productions,24 ROCKWOOD,HALIFAX NS B3N 1X5
302743,Non-Gaming Exempt (NGE),Merrick Jamieson Sterns Washingon & Mahody,5475 SPRING GARDEN  RD SUITE 503,HALIFAX NS B3J 3T2
303216,Non-Gaming Exempt (NGE),Ritu Guitan Consultant,3430 WINDSOR  ST,HALIFAX NS B3K 5G1
303317,Non-Gaming Exempt (NGE),Paderno Cookware,6 AZITA  CT,BEDFORD NS B4A 3Y6
303324,Non-Gaming Exempt (NGE),Mike Liang Graphic Design,125 VILLAGE GREEN SQUARE UNIT 3901,SCARBOROUGH ON M1S 0G4
303865,Non-Gaming Exempt (NGE),WPS Canada Inc.,5630 TOMKEN RD,MISSISSAUGA ON L4W 1P4
304019,Non-Gaming Exempt (NGE),Cape Breton Beverages,65 HARBOUR DR,EDWARDSVILLE NS B1P 6R7
304069,Non-Gaming Exempt (NGE),Hospice Palliative Care Society of Cape Breton County,P. O. BOX 561,SYDNEY NS
304294,Non-Gaming Exempt (NGE),Sydney R. Stone Ltd. 889283198,6338 VISCOUNT RD,MISSISSAUGA ON L4V 1H3
304331,Non-Gaming Exempt (NGE),Catherine Little,2087 LOWER PROSPECT RD,LOWER PROSPECT NS  B3T 1Y8
304332,Non-Gaming Exempt (NGE),Gary Northrup,47209 HOMESTEAD  RD,STEEVES MOUNTAIN NB E1G 4J6
304452,Non-Gaming Exempt (NGE),Lydon Lynch Architect,1209 MARGINAL RD,HALIFAX NS B3H 4P7
304453,Non-Gaming Exempt (NGE),Seven Signs,348 D KELTIC  DR,SYDNEY NS B1R 1V7
304454,Non-Gaming Exempt (NGE),Taylor Flooring Limited,WELTON PLAZA UNIT 3,SYDNEY NS B1P 5S4
304456,Non-Gaming Exempt (NGE),Vic Aucoin's Electrical,151 DORCHESTER ST,SYDNEY NS B1P 5Z5
304457,Non-Gaming Exempt (NGE),Maurice R. Bidart General Contractor (1986) Co. Ltd.,69 JOHNSTONE ST,SYDNEY NS B1P 1T2
304459,Non-Gaming Exempt (NGE),Little Tiny Fingers,8 ELM ST,TORONTO ON M5G 1G7
304463,Non-Gaming Exempt (NGE),Stubbyfingers Incorporated,219 DUFFERIN ST 206B,TORONTO ON M6K 3J1
304467,Non-Gaming Exempt (NGE),Philip Dubinsky,51 PARK ST,SYDNEY NS B1P 4W3
304525,Non-Gaming Exempt (NGE),Saputo Dairy Products Canada G.P.,2365 Cote-De-Liesse,Montreal Quebec
304785,Non-Gaming Exempt (NGE),True North DJ Services Ltd.,,
304890,Non-Gaming Exempt (NGE),Third Coast Apparel,,
305449,Non-Gaming Exempt (NGE),Deirdre Thibault Graphic Design,1274 QUEEN ST,HALIFAX NS B3J 2H4
305932,Non-Gaming Exempt (NGE),Music Industry Association of NS,2169 GOTTINGEN  ST,HALIFAX NS B3K 3B5
305939,Non-Gaming Exempt (NGE),Stage Crew Inc.,2271 MOUNTAIN  RD,MONCTON NB E1G 1B6
305940,Non-Gaming Exempt (NGE),High Valley,1140 WEST PENDER ST 1700,VANCOUVER BC V6E 4G1
305941,Non-Gaming Exempt (NGE),Back Bay Management LLC,520 S INDEPENDENCE BL,VIRGINA BEACH VA 23452
306550,Non-Gaming Exempt (NGE),Premiere Entertainment Group Ltd.,1150 BELMONT ON THE ARM,"HALIFAX, NS  B3H 1J3"
306700,Non-Gaming Exempt (NGE),Lokol. Inc.,PO BOX 975,SYDNEY NS B1P 5C6
307052,Non-Gaming Exempt (NGE),Meaghan Blanchard Music Inc.,1  - 28 KENSINGTON RD,CHARLOTTETOWN PE C1A 5H5
307053,Non-Gaming Exempt (NGE),Think Marketing,5112 PRINCE ST,HALIFAX NS B3L 1L3
307893,Non-Gaming Exempt (NGE),Capital Management Engineering Limited,5531 CORNWALLIS ST,HALIFAX NS B3K 1B3
308128,Non-Gaming Exempt (NGE),Trac Rite Software Inc. (Chris  Whadham),440 DON AV UNIT B,WINNIPEG MB R3L 0S4
309261,Non-Gaming Exempt (NGE),Draught Pro,137 SOLUTIONS DR SUITE 310,HALIFAX NS B3S 0G5
309383,Non-Gaming Exempt (NGE),"Jost, Gaspereau and Mercalor Vineyards",48 VINTAGE LN,MALAGASH NS B0K 1E0
309493,Non-Gaming Exempt (NGE),Uniforms Inc.,8600 RUE OUIMET,BROSSARD PQ J4Y 3A1
309598,Non-Gaming Exempt (NGE),Oracle Canada ULC,100 Milverton Drive,Mississauga Ontario
309706,Non-Gaming Exempt (NGE),East Coast Metal Fabrication Inc.,10 MARINE DR,EDWARDSVILLE NS B2A 4S6
309707,Non-Gaming Exempt (NGE),On Our Way Moving,526 GRANDLAKE RD,SYDNEY NS B1P 5T4
309972,Non-Gaming Exempt (NGE),Atlantic On Site Mobile Drapery Cleaners Ltd.,43 MAPLE  ST,MAHONE BAY NS B0J 2E0
310234,Non-Gaming Exempt (NGE),Shawn Organ Lighting Technician,6465 Bayers Road,"Halifax, Nova Scotia"
310247,Non-Gaming Exempt (NGE),Al Strickland Audio,22 LILLIAN DR,DARTMOUTH NS B2W 4B4
310251,Non-Gaming Exempt (NGE),Sherlock Clothing Limited(Pseudio),127 CHAIN LAKE DR,HALIFAX NS B3S 1B3
310402,Non-Gaming Exempt (NGE),Hyundai Cape Breton,34 STATE ST,SYDNEY NS B1P 2W9
310413,Non-Gaming Exempt (NGE),Maritime Travel,1903 BARRINGTON  ST,HALIFAX NS B3J 3L7
310460,Non-Gaming Exempt (NGE),Bishop's Cellar,1475 LOWER WATER ST SUITE 100,HALIFAX NS B3J 3Z2
311143,Non-Gaming Exempt (NGE),Ricas Fire Protection Engineering,3-644 PORTLAND  ST,DARTMOUTH NS B2W 6C4
311287,Non-Gaming Exempt (NGE),Rentokil,8699 ESCARPMENT WAY UNIT 11,MILTON ON L9T 0J5
312267,Non-Gaming Exempt (NGE),Cape Breton Post / Trans Continental,68 Pleasant Street,"North Sydney , NS  B2A 1C5"
312396,Non-Gaming Exempt (NGE),Sunbelt Rentals,34 CUTLER AV,DARTMOUTH NS B3B 0J4
312414,Non-Gaming Exempt (NGE),Frontline Outfitters,400 BLUE WATER RD,BEDFORD NS B4B 1J3
312432,Non-Gaming Exempt (NGE),British Bazaar,465 East White Hills Road,ST. JOHN'S NEWFOUNDLAND  A1A 5X7
312455,Non-Gaming Exempt (NGE),Hampton Inn,1960 BRUNSWICK ST,HALIFAX NS B3J 2G7
312459,Non-Gaming Exempt (NGE),Atlantica Mechanical Contractors Inc.,9 RALSTON AV,DARTMOUTH NS  B3B 1H5
312526,Non-Gaming Exempt (NGE),Robert Boudreau Performer,28 LYNN RD,HALIFAX NS B3N 1S4
313065,Non-Gaming Exempt (NGE),J.J Podborski Digital Marketing Specialist,5925 GAINSBOROUGH PLACE,Halifax Nova Scotia
313227,Non-Gaming Exempt (NGE),Carl Sutton Performer,100 FRESHWATER TRAIL,DARTMOUTH NS B2W 0A5
313235,Non-Gaming Exempt (NGE),Reg Eccles Performer,124 COW BAY  RD,DARTMOUTH NS B3G 1C1
313296,Non-Gaming Exempt (NGE),Silverbirch No. 15 Operations Limited Partnership,1600-1030 W. Georgia Street,"Vancouver, British Columbia"
313489,Non-Gaming Exempt (NGE),Advantage Personnel,7015 Tranmere Drive Unit 13/14,Mississauga Ontario
313524,Non-Gaming Exempt (NGE),Scotiabank Centre,1800 ARGYLE ST,HALIFAX NS B3J 2V9
313526,Non-Gaming Exempt (NGE),Centreplate,1800 ARGYLE  ST,HALIFAX NS B3J 3N8
313528,Non-Gaming Exempt (NGE),Enerscan Consultants Ltd.,22 JULIES WALK,HALIFAX NS B3M 2Z7
313529,Non-Gaming Exempt (NGE),TK Elevator (Canada) Limited,7 MELLOR AV,DARTMOUTH NS B3B 0E8
313530,Non-Gaming Exempt (NGE),Frontline Outfitters,400 BLUE WATER RD,BEDFORD NS B4B 1J3
313957,Non-Gaming Exempt (NGE),IC Video Productions,22 SANDSTONE DR,HATCHET LAKE NS B3T 1P7
314000,Non-Gaming Exempt (NGE),Schooner Industrial / Source Atlantic Limited,100 RANDALL AV,DARTMOUTH NS B3B 1T2
314392,Non-Gaming Exempt (NGE),Island Press Ltd.,567 Montague Street,Montague PEI
314393,Non-Gaming Exempt (NGE),Design 1 Indoor Environmental Inspection,780 WINDMILL RD 20B,DARMTOUTH NS B3B 1T3
314629,Non-Gaming Exempt (NGE),Laura Smith Entertainer (Laura Smith),PO BOX 72,MAHONE BAY NS B0J 2E0
314631,Non-Gaming Exempt (NGE),Dave Sampson Artist (Dave Sampson),1095 TOWER RD,HALIFAX NS B3H 2Y7
314632,Non-Gaming Exempt (NGE),Guerilla Tours Inc.,8 ELM ST,TORONTO ON M5G 1G7
314634,Non-Gaming Exempt (NGE),Facebook,1 HACKER WAY,MENTO PARK CA 94025
314910,Non-Gaming Exempt (NGE),Websavers Inc.,BOX 415 DARTMOUTH MAIN,DARTMOUTH NS B2Y 3Y5
315486,Non-Gaming Exempt (NGE),WM Uniform Group,,
315643,Non-Gaming Exempt (NGE),Guest Services Worldwide Ltd.,KEYSTONE HOUSE,BLACKPOOL UNITED KINGDOM FY4 2DP
315768,Non-Gaming Exempt (NGE),ICS (Innovative card solution),2990 CARNEY DR,SANBORN NY 141132
315881,Non-Gaming Exempt (NGE),St. John Ambulance,72 HIGHFIELD PARK DR,DARTMOUTH NS B3A 4X2
316016,Non-Gaming Exempt (NGE),Nkearns Event and Project Solutions,41 DOLBIN ST,SYDNEY NS B1P 1S4
316056,Non-Gaming Exempt (NGE),Hilary Langfrey,5-40 LAHEY RD,DARTMOUTH NS B3A 4A1
316318,Non-Gaming Exempt (NGE),Beck & Boosh Inc.,43 FORRESTER  ST,TRURO NS B2N 3M6
316319,Non-Gaming Exempt (NGE),3287129 NS Ltd.,71 LAURIE ST,TRURO NS B2N 4B4
316413,Non-Gaming Exempt (NGE),Commercial Flooring Group,30 AKERLEY  BL,DARTMOUTH NS B2B1N1
316513,Non-Gaming Exempt (NGE),Sterling Backcheck Canada Corp.,19433 96TH ST SUITE 200,SURREY BC V4N 4C4
316520,Non-Gaming Exempt (NGE),Data Wiring Solutions Inc.,127 CHAIN LAKE DR,HALIFAX NS B3S 1B3
316526,Non-Gaming Exempt (NGE),Glow Parties  (Valerie Sharp),3600 STRAWBERRY HILL,HALIFAX NS B3K 5A9
316541,Non-Gaming Exempt (NGE),AB FAB Fine Foods Inc.  (Gordon Stevens),1030 SOUTH PARK ST,HALIFAX NS B3H 2W3
316642,Non-Gaming Exempt (NGE),PMC Roofing Limited,38 BASINVIEW DR,BEDFORD NS B4A 3R1
316645,Non-Gaming Exempt (NGE),4Refuel,3-311 ROCKY LAKE DR,BEDFORD NS B4A 2S5
316840,Non-Gaming Exempt (NGE),Diamond Water Treatment Services ltd.,24 LIVELY RD,Lower Sackville NS B4E 3A9
316843,Non-Gaming Exempt (NGE),Crossman Controls Incorporated,3-541 HIGHWAY 2,ELMSDALE NS B2S 1A4
316863,Non-Gaming Exempt (NGE),Belmac Supply,70 DODD ST,SYDNEY NS B1P 1T6
316914,Non-Gaming Exempt (NGE),East Coast Mobile Medical Inc.,101 ILSLEY  AV,DARTMOUTH NS B3B  1S8
317043,Non-Gaming Exempt (NGE),Sophia Baltas Makeup (Sophia Baltas),692 MONTAGUE RD,DARTMOUTH NS B2R 1T6
318197,Non-Gaming Exempt (NGE),Amigos Audio Video Unlimited,480 GRAND LAKE RD,SYDNEY NS B1P 5S8
318521,Non-Gaming Exempt (NGE),Office Interiors,656 WINDMILL RD,DARTMOUTH NS B3B 1B8
319255,Non-Gaming Exempt (NGE),Darts Nova Scotia,22 OSBORNE ST,HALIFAX NS B3N 1K5
319259,Non-Gaming Exempt (NGE),Thomson Reuters/Carswell,PO BOX 1991 STATION B,TORONTO ON M5T 3G1
319344,Non-Gaming Exempt (NGE),Stephen Doherty Audio Tech (Stephen  Doherty),7-83 COLLINS GROVE,DARTMOUTH NS B2W 4G3
319566,Non-Gaming Exempt (NGE),Green Hills Farm 3296654 Ltd. (Jenna Mombourquette),41 UNIVERSITY,SYDNEY NS B1M 1A6
319582,Non-Gaming Exempt (NGE),Southwest Binding Systems,48 TRIDER CR UNIT 4,DARTMOUTH NS B3R 1R6
320062,Non-Gaming Exempt (NGE),City Printers Limited,180 TOWNSEND ST,SYDNEY NS B1S 5E5
320069,Non-Gaming Exempt (NGE),Bill Petrie Trucking Ltd. (Bill Petrie),495 CAMPBELL RD,SYDNEY NS B2A 4L8
320071,Non-Gaming Exempt (NGE),Walzak Photography,721 UNION ST,NEW GLASGOW NS B1H 3L4
320072,Non-Gaming Exempt (NGE),Margaret MacPherson Entertainer (Margaret MacPherson),37 ROSEWOOD DR,SYDNEY NS B1P 3A5
320073,Non-Gaming Exempt (NGE),Horizon Achievement Centre,780 UPPER PRINCE ST,SYDNEY NS B1P 5N6
320074,Non-Gaming Exempt (NGE),Brandee Collins Entertainer (Brandee Collins),347 MEADOWS RD,SYDNEY FORKS NS B1L 1A8
320075,Non-Gaming Exempt (NGE),Shayna Turner Entertainer (Shayna Turner),27 ST. ANTHONY DR,SYDNEY NS B1S 2R4
320077,Non-Gaming Exempt (NGE),State Chemical Solutions (Doug Hamood),6935 DAVAND DR,MISSISSAUGA ON L5T 1L5
320078,Non-Gaming Exempt (NGE),SCALAR Decisions Inc.,1100 MELVILLE ST,VANCOUVER BC V6E 4A6
320189,Non-Gaming Exempt (NGE),Tim Hortons,5201 DUKE  ST,HALIFAX NS B3J 1N9
320192,Non-Gaming Exempt (NGE),Blossoms Shop Florist,1949 UPPER WATER  ST,HALIFAX NS B3J 3N3
320506,Non-Gaming Exempt (NGE),Restaurant Association of Nova Scotia,AGRICOLA ST UNIT 1,HALIFAX NS B3K 4E4
320507,Non-Gaming Exempt (NGE),Brad Steeves Photo Booth Rental,1264 ST. MARGARET'S BAY  RD,BEECHVILLE NS B3T 1A7
320508,Non-Gaming Exempt (NGE),MacBoudreau Entertainment Ltd Premiere Van Lines,104 MARINE DR SUITE C,SYDNEY NS B2A 4S1
320509,Non-Gaming Exempt (NGE),Stelee Properties Inc.,49 BRANS WA,WILLIAMSWOOD NS B3V 1T1
320622,Non-Gaming Exempt (NGE),Mer Et Soleil,6145 ALLAN ST,HALIFAX NS B3L 1G7
320624,Non-Gaming Exempt (NGE),Canadian Tire,6203 QUINPOOL  RD,HALIFAX NS B3L 4P6
320667,Non-Gaming Exempt (NGE),Cooke Sales,420 HIGNEY AV,DARTMOUTH NS B3B 0L4
320722,Non-Gaming Exempt (NGE),Securesus Technologies Inc.,102 DEWDNEY TRUNK  RD,PORT MOODY BC V3H 2E4
320904,Non-Gaming Exempt (NGE),Kirkwood Diamond Canada,7075 BAYERS   RD SUITE 215,HALIFAX NS B3L 2C2
320934,Non-Gaming Exempt (NGE),Island Catering LTD,4 PAUL ST,SYDNEY NS B1P 3H4
320943,Non-Gaming Exempt (NGE),Grand Lake rd Fire hall,850 GRAND LAKE RD,SYDNEY NS B1P 5T9
320951,Non-Gaming Exempt (NGE),Costco,230 CHAIN LAKE DR,HALIFAX NS B3S 1C5
320954,Non-Gaming Exempt (NGE),Academy Towing (Iris Urquhart),89 JOSEPH ZATZMAN DR,DARTMOUTH NS B3B 1N3
320956,Non-Gaming Exempt (NGE),Sobeys (Matt Purdy),210 WYSE RD,DARTMOUTH NS B3A 3L2
321065,Non-Gaming Exempt (NGE),The Source,5201 DUKE ST,HALIFAX NS B3J 1N9
